video,labelName,label,sampleIndex,earMean,earMin,earStd,marMean,marMax,marStd,perclos,eyesClosedRatio,yawnCount
video-2-alert.mkv,alert,0,103,0.3424,0.3242,0.0085,0.002,0.0057,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,104,0.343,0.3242,0.0079,0.002,0.0057,0.0012,0.0,0.0,0
video-2-alert.mkv,alert,0,105,0.34,0.3242,0.0079,0.0019,0.0048,0.001,0.0,0.0,0
video-2-alert.mkv,alert,0,106,0.3306,0.0913,0.0451,0.0019,0.0048,0.001,0.0333,0.0,0
video-2-alert.mkv,alert,0,107,0.3297,0.0913,0.0449,0.0019,0.0048,0.0011,0.0333,0.0,0
video-2-alert.mkv,alert,0,108,0.3275,0.0913,0.0443,0.002,0.0048,0.0011,0.0333,0.0,0
video-2-alert.mkv,alert,0,109,0.3271,0.0913,0.0442,0.0021,0.0048,0.0011,0.0333,0.0,0
video-2-alert.mkv,alert,0,110,0.3271,0.0913,0.0442,0.0024,0.0055,0.0013,0.0333,0.0,0
video-2-alert.mkv,alert,0,111,0.3273,0.0913,0.0451,0.0023,0.0055,0.0013,0.0333,0.0,0
video-2-alert.mkv,alert,0,112,0.3356,0.2904,0.0108,0.0025,0.0055,0.0014,0.0,0.0,0
video-2-alert.mkv,alert,0,113,0.3357,0.2904,0.0108,0.0025,0.0055,0.0014,0.0,0.0,0
video-2-alert.mkv,alert,0,114,0.3389,0.2904,0.0136,0.0025,0.0055,0.0015,0.0,0.0,0
